	Ячейка 60-21 ПВК 8 Нитка 3	Мощность	Расход	Энерговыработка ТВС реактора (МВт*сут)	ДКЭВ1	Офсет
0	20.11.2017 17:29:31	2.4559686888454	38.4540100097656	649.4599609375	1.50684931506849; 2.3679060665362; 2.09393346379648; 1.48727984344423	0.03937007874015589
1	20.11.2017 17:29:32	2.4559686888454	38.4540100097656	649.4599609375	1.50684931506849; 2.3679060665362; 2.09393346379648; 1.48727984344423	0.03937007874015589
2	20.11.2017 17:29:34	2.44618395303327	38.3561630249023	649.4599609375	1.50684931506849; 2.3679060665362; 2.09393346379648; 1.48727984344423	0.03937007874015589
3	20.11.2017 17:29:35	2.4559686888454	38.4540100097656	649.4599609375	1.50684931506849; 2.3679060665362; 2.09393346379648; 1.50684931506849	0.03664921465968509
4	20.11.2017 17:29:36	2.4559686888454	38.1604690551758	649.4599609375	1.50684931506849; 2.38747553816047; 2.11350293542074; 1.50684931506849	0.036458333333333995
5	20.11.2017 17:29:38	2.4559686888454	38.0626220703125	649.4599609375	1.50684931506849; 2.3679060665362; 2.09393346379648; 1.50684931506849	0.03664921465968509
6	20.11.2017 17:29:39	2.4559686888454	37.9647750854492	649.562377929688	1.50684931506849; 2.38747553816047; 2.11350293542074; 1.50684931506849	0.036458333333333995
7	20.11.2017 17:29:40	2.4559686888454	38.2583160400391	649.562377929688	1.48727984344423; 2.3679060665362; 2.09393346379648; 1.50684931506849	0.03412073490813647
8	20.11.2017 17:29:42	2.44618395303327	38.2583160400391	649.562377929688	1.48727984344423; 2.3679060665362; 2.09393346379648; 1.48727984344423	0.03684210526315706
9	20.11.2017 17:29:43	2.44618395303327	38.4540100097656	649.562377929688	1.48727984344423; 2.3679060665362; 2.09393346379648; 1.48727984344423	0.03684210526315706
10	20.11.2017 17:29:44	2.44618395303327	38.4540100097656	649.562377929688	1.48727984344423; 2.34833659491194; 2.09393346379648; 1.50684931506849	0.0315789473684218
11	20.11.2017 17:29:46	2.44618395303327	38.4540100097656	649.562377929688	1.48727984344423; 2.34833659491194; 2.09393346379648; 1.50684931506849	0.0315789473684218
12	20.11.2017 17:29:47	2.43639921722114	38.0626220703125	649.66455078125	1.48727984344423; 2.34833659491194; 2.09393346379648; 1.50684931506849	0.0315789473684218
13	20.11.2017 17:29:49	2.43639921722114	37.9647750854492	649.66455078125	1.48727984344423; 2.34833659491194; 2.09393346379648; 1.50684931506849	0.0315789473684218
14	20.11.2017 17:29:50	2.43639921722114	38.4540100097656	649.66455078125	1.48727984344423; 2.34833659491194; 2.09393346379648; 1.50684931506849	0.0315789473684218
15	20.11.2017 17:29:51	2.44618395303327	38.1604690551758	649.66455078125	1.46771037181996; 2.34833659491194; 2.11350293542074; 1.52641878669276	0.02362204724409513
16	20.11.2017 17:29:53	2.43639921722114	38.4540100097656	649.66455078125	1.46771037181996; 2.32876712328767; 2.09393346379648; 1.52641878669276	0.0237467018469649
17	20.11.2017 17:29:55	2.43639921722114	38.4540100097656	649.66455078125	1.46771037181996; 2.32876712328767; 2.11350293542074; 1.52641878669276	0.021052631578947503
18	20.11.2017 17:29:56	2.43639921722114	38.3561630249023	649.766967773438	1.44814090019569; 2.32876712328767; 2.11350293542074; 1.52641878669276	0.018469656992084048
19	20.11.2017 17:29:57	2.43639921722114	38.1604690551758	649.766967773438	1.44814090019569; 2.32876712328767; 2.11350293542074; 1.52641878669276	0.018469656992084048
20	20.11.2017 17:29:59	2.43639921722114	38.3561630249023	649.766967773438	1.44814090019569; 2.32876712328767; 2.11350293542074; 1.54598825831703	0.01578947368420961
21	20.11.2017 17:30:00	2.44618395303327	38.3561630249023	649.766967773438	1.44814090019569; 2.32876712328767; 2.13307240704501; 1.56555772994129	0.010471204188481032
22	20.11.2017 17:30:01	2.4559686888454	38.2583160400391	649.766967773438	1.44814090019569; 2.32876712328767; 2.13307240704501; 1.56555772994129	0.010471204188481032
23	20.11.2017 17:30:03	2.4559686888454	38.4540100097656	649.766967773438	1.42857142857143; 2.32876712328767; 2.15264187866928; 1.58512720156556	0.0026109660574403473
24	20.11.2017 17:30:04	2.46575342465753	38.3561630249023	649.868957519531	1.42857142857143; 2.32876712328767; 2.15264187866928; 1.58512720156556	0.0026109660574403473
25	20.11.2017 17:30:06	2.4559686888454	38.4540100097656	649.868957519531	1.42857142857143; 2.30919765166341; 2.15264187866928; 1.60469667318982	-0.0026109660574404068
26	20.11.2017 17:30:07	2.46575342465753	38.1604690551758	649.868957519531	1.42857142857143; 2.30919765166341; 2.17221135029354; 1.60469667318982	-0.005208333333331649
