	Ячейка 30-31 ПВК 81 Нитка 6	Мощность	Расход	Энерговыработка ТВС реактора (МВт*сут)	ДКЭВ1	Офсет
0	20.11.2017 17:29:31	2.21135029354207	39.8238754272461	1530.67541503906	1.87866927592955; 2.15264187866928; 1.83953033268102; 1.48727984344423	0.09574468085106357
1	20.11.2017 17:29:32	2.21135029354207	40.1174163818359	1530.67541503906	1.87866927592955; 2.13307240704501; 1.83953033268102; 1.48727984344423	0.0933333333333326
2	20.11.2017 17:29:34	2.20156555772994	40.1174163818359	1530.67541503906	1.85909980430528; 2.13307240704501; 1.83953033268102; 1.48727984344423	0.09090909090908969
3	20.11.2017 17:29:35	2.21135029354207	40.0195693969727	1530.67541503906	1.87866927592955; 2.13307240704501; 1.83953033268102; 1.48727984344423	0.0933333333333326
4	20.11.2017 17:29:36	2.20156555772994	39.7260284423828	1530.67541503906	1.87866927592955; 2.13307240704501; 1.83953033268102; 1.48727984344423	0.0933333333333326
5	20.11.2017 17:29:38	2.20156555772994	40.1174163818359	1530.67541503906	1.85909980430528; 2.11350293542074; 1.83953033268102; 1.50684931506849	0.08556149732620245
6	20.11.2017 17:29:39	2.20156555772994	40.5088081359863	1530.76745605469	1.85909980430528; 2.11350293542074; 1.85909980430528; 1.50684931506849	0.08266666666666678
7	20.11.2017 17:29:40	2.21135029354207	39.8238754272461	1530.76745605469	1.85909980430528; 2.11350293542074; 1.85909980430528; 1.50684931506849	0.08266666666666678
8	20.11.2017 17:29:42	2.22113502935421	40.2152633666992	1530.76745605469	1.85909980430528; 2.11350293542074; 1.87866927592955; 1.52641878669276	0.07692307692307589
9	20.11.2017 17:29:43	2.22113502935421	40.1174163818359	1530.76745605469	1.83953033268102; 2.11350293542074; 1.87866927592955; 1.54598825831703	0.07161803713527765
10	20.11.2017 17:29:44	2.22113502935421	39.8238754272461	1530.76745605469	1.83953033268102; 2.11350293542074; 1.87866927592955; 1.54598825831703	0.07161803713527765
11	20.11.2017 17:29:46	2.22113502935421	40.4109573364258	1530.76745605469	1.83953033268102; 2.11350293542074; 1.89823874755382; 1.56555772994129	0.06596306068601533
12	20.11.2017 17:29:47	2.22113502935421	39.8238754272461	1530.85961914063	1.81996086105675; 2.09393346379648; 1.89823874755382; 1.58512720156556	0.05820105820105745
13	20.11.2017 17:29:49	2.22113502935421	40.0195693969727	1530.85961914063	1.80039138943249; 2.09393346379648; 1.89823874755382; 1.58512720156556	0.055702917771883353
14	20.11.2017 17:29:50	2.22113502935421	40.0195693969727	1530.85961914063	1.80039138943249; 2.09393346379648; 1.91780821917808; 1.60469667318982	0.05013192612137383
15	20.11.2017 17:29:51	2.23091976516634	40.2152633666992	1530.85961914063	1.80039138943249; 2.07436399217221; 1.91780821917808; 1.62426614481409	0.044854881266491516
16	20.11.2017 17:29:53	2.21135029354207	40.1174163818359	1530.85961914063	1.76125244618395; 2.05479452054795; 1.91780821917808; 1.62426614481409	0.037234042553192
17	20.11.2017 17:29:55	2.21135029354207	39.9217224121094	1530.85961914063	1.76125244618395; 2.05479452054795; 1.91780821917808; 1.62426614481409	0.037234042553192
18	20.11.2017 17:29:56	2.21135029354207	40.1174163818359	1530.95263671875	1.74168297455969; 2.03522504892368; 1.91780821917808; 1.64383561643836	0.02933333333333357
19	20.11.2017 17:29:57	2.21135029354207	39.8238754272461	1530.95263671875	1.74168297455969; 2.03522504892368; 1.93737769080235; 1.66340508806262	0.023872679045093412
20	20.11.2017 17:29:59	2.21135029354207	39.5303344726563	1530.95263671875	1.72211350293542; 2.03522504892368; 1.93737769080235; 1.68297455968689	0.018567639257294013
21	20.11.2017 17:30:00	2.22113502935421	40.0195693969727	1530.95263671875	1.72211350293542; 2.01565557729941; 1.95694716242661; 1.68297455968689	0.013262599469495899
22	20.11.2017 17:30:01	2.22113502935421	40.3131103515625	1530.95263671875	1.70254403131115; 2.01565557729941; 1.95694716242661; 1.70254403131115	0.007957559681697765
23	20.11.2017 17:30:03	2.22113502935421	39.9217224121094	1530.95263671875	1.70254403131115; 2.01565557729941; 1.97651663405088; 1.72211350293542	0.0026385224274397237
24	20.11.2017 17:30:04	2.23091976516634	40.1174163818359	1531.04479980469	1.68297455968689; 2.01565557729941; 1.97651663405088; 1.74168297455969	-0.002638522427441217
25	20.11.2017 17:30:06	2.22113502935421	39.6281814575195	1531.04479980469	1.68297455968689; 1.99608610567515; 1.97651663405088; 1.74168297455969	-0.005291005291005015
26	20.11.2017 17:30:07	2.23091976516634	39.7260284423828	1531.04479980469	1.66340508806262; 1.99608610567515; 1.99608610567515; 1.78082191780822	-0.01578947368421096
27	20.11.2017 17:30:08	2.22113502935421	40.0195693969727	1531.04479980469	1.64383561643836; 1.97651663405088; 1.99608610567515; 1.78082191780822	-0.021164021164021263
28	20.11.2017 17:30:10	2.22113502935421	40.1174163818359	1531.04479980469	1.64383561643836; 1.97651663405088; 1.99608610567515; 1.80039138943249	-0.023746701846966305
29	20.11.2017 17:30:11	2.23091976516634	39.8238754272461	1531.04479980469	1.62426614481409; 1.95694716242661; 2.01565557729941; 1.81996086105675	-0.034300791556728265
30	20.11.2017 17:30:13	2.22113502935421	39.9217224121094	1531.13745117188	1.62426614481409; 1.95694716242661; 2.01565557729941; 1.81996086105675	-0.034300791556728265
31	20.11.2017 17:30:14	2.23091976516634	39.6281814575195	1531.13745117188	1.60469667318982; 1.95694716242661; 2.01565557729941; 1.83953033268102	-0.03957783641161057
32	20.11.2017 17:30:16	2.23091976516634	39.6281814575195	1531.13745117188	1.60469667318982; 1.95694716242661; 2.03522504892368; 1.85909980430528	-0.04461942257217925
33	20.11.2017 17:30:17	2.24070450097847	39.6281814575195	1531.13745117188	1.58512720156556; 1.93737769080235; 2.05479452054795; 1.87866927592955	-0.05511811023622051
34	20.11.2017 17:30:18	2.23091976516634	39.7260284423828	1531.13745117188	1.58512720156556; 1.93737769080235; 2.03522504892368; 1.87866927592955	-0.05263157894736797
35	20.11.2017 17:30:20	2.24070450097847	39.6281814575195	1531.13745117188	1.56555772994129; 1.93737769080235; 2.05479452054795; 1.89823874755382	-0.060367454068242545
36	20.11.2017 17:30:21	2.23091976516634	40.0195693969727	1531.23046875	1.54598825831703; 1.91780821917808; 2.05479452054795; 1.91780821917808	-0.06842105263157894
37	20.11.2017 17:30:22	2.24070450097847	39.6281814575195	1531.23046875	1.52641878669276; 1.91780821917808; 2.07436399217221; 1.93737769080235	-0.07611548556430468
38	20.11.2017 17:30:24	2.23091976516634	39.4324836730957	1531.23046875	1.50684931506849; 1.89823874755382; 2.07436399217221; 1.95694716242661	-0.08421052631578857
39	20.11.2017 17:30:25	2.23091976516634	39.6281814575195	1531.23046875	1.50684931506849; 1.89823874755382; 2.07436399217221; 1.97651663405088	-0.08661417322834615
40	20.11.2017 17:30:26	2.23091976516634	39.6281814575195	1531.23046875	1.50684931506849; 1.87866927592955; 2.07436399217221; 1.97651663405088	-0.08947368421052658
41	20.11.2017 17:30:28	2.22113502935421	39.4324836730957	1531.23046875	1.48727984344423; 1.87866927592955; 2.07436399217221; 1.97651663405088	-0.09234828496042156
42	20.11.2017 17:30:29	2.22113502935421	39.7260284423828	1531.32336425781	1.48727984344423; 1.87866927592955; 2.07436399217221; 1.99608610567515	-0.09473684210526291
43	20.11.2017 17:30:31	2.23091976516634	39.9217224121094	1531.32336425781	1.48727984344423; 1.87866927592955; 2.07436399217221; 1.99608610567515	-0.09473684210526291
44	20.11.2017 17:30:32	2.24070450097847	39.5303344726563	1531.32336425781	1.46771037181996; 1.87866927592955; 2.09393346379648; 2.01565557729941	-0.10236220472440953
45	20.11.2017 17:30:33	2.23091976516634	39.5303344726563	1531.32336425781	1.46771037181996; 1.85909980430528; 2.09393346379648; 2.03522504892368	-0.10761154855643158
46	20.11.2017 17:30:35	2.24070450097847	39.8238754272461	1531.32336425781	1.46771037181996; 1.85909980430528; 2.09393346379648; 2.03522504892368	-0.10761154855643158
47	20.11.2017 17:30:36	2.24070450097847	39.5303344726563	1531.32336425781	1.44814090019569; 1.85909980430528; 2.11350293542074; 2.05479452054795	-0.11518324607329979
48	20.11.2017 17:30:37	2.24070450097847	39.4324836730957	1531.4169921875	1.44814090019569; 1.85909980430528; 2.11350293542074; 2.07436399217221	-0.11749347258485705
