	Ячейка 34-23 ПВК неразведено	Мощность	Расход	СУЗ	Энерговыработка ТВС реактора (МВт*сут)
0	20.11.2017 17:29:31	0	3.89823865890503	2.64187866927593	0
1	20.11.2017 17:29:32	0	3.8825831413269	2.64187866927593	0
2	20.11.2017 17:29:34	0	3.89823865890503	2.64187866927593	0
3	20.11.2017 17:29:35	0	3.8825831413269	2.64187866927593	0
4	20.11.2017 17:29:36	0	3.89823865890503	2.64187866927593	0
5	20.11.2017 17:29:38	0	3.8825831413269	2.64187866927593	0
6	20.11.2017 17:29:39	0	3.8825831413269	2.64187866927593	0
7	20.11.2017 17:29:40	0	3.8825831413269	2.64187866927593	0
8	20.11.2017 17:29:42	0	3.8825831413269	2.64187866927593	0
9	20.11.2017 17:29:43	0	3.89823865890503	2.64187866927593	0
10	20.11.2017 17:29:44	0	3.89823865890503	2.64187866927593	0
11	20.11.2017 17:29:46	0	3.89823865890503	2.64187866927593	0
12	20.11.2017 17:29:47	0	3.8825831413269	2.64187866927593	0
13	20.11.2017 17:29:49	0	3.89823865890503	2.64187866927593	0
14	20.11.2017 17:29:50	0	3.89823865890503	2.64187866927593	0
15	20.11.2017 17:29:51	0	3.8825831413269	2.64187866927593	0
16	20.11.2017 17:29:53	0	3.89823865890503	2.64187866927593	0
17	20.11.2017 17:29:55	0	3.8825831413269	2.64187866927593	0
18	20.11.2017 17:29:56	0	3.8825831413269	2.64187866927593	0
19	20.11.2017 17:29:57	0	3.89823865890503	2.64187866927593	0
20	20.11.2017 17:29:59	0	3.8825831413269	2.64187866927593	0
21	20.11.2017 17:30:00	0	3.8825831413269	2.64187866927593	0
22	20.11.2017 17:30:01	0	3.89823865890503	2.64187866927593	0
23	20.11.2017 17:30:03	0	3.91389441490173	2.64187866927593	0
24	20.11.2017 17:30:04	0	3.89823865890503	2.64187866927593	0
25	20.11.2017 17:30:06	0	3.8825831413269	2.64187866927593	0
26	20.11.2017 17:30:07	0	3.8825831413269	2.64187866927593	0
27	20.11.2017 17:30:08	0	3.8825831413269	2.64187866927593	0
28	20.11.2017 17:30:10	0	3.89823865890503	2.64187866927593	0
29	20.11.2017 17:30:11	0	3.8825831413269	2.64187866927593	0
30	20.11.2017 17:30:13	0	3.8825831413269	2.64187866927593	0
31	20.11.2017 17:30:14	0	3.8825831413269	2.64187866927593	0
32	20.11.2017 17:30:16	0	3.8825831413269	2.64187866927593	0
33	20.11.2017 17:30:17	0	3.89823865890503	2.64187866927593	0
34	20.11.2017 17:30:18	0	3.89823865890503	2.64187866927593	0
35	20.11.2017 17:30:20	0	3.89823865890503	2.64187866927593	0
36	20.11.2017 17:30:21	0	3.8825831413269	2.64187866927593	0
37	20.11.2017 17:30:22	0	3.89823865890503	2.64187866927593	0
38	20.11.2017 17:30:24	0	3.89823865890503	2.64187866927593	0
39	20.11.2017 17:30:25	0	3.89823865890503	2.64187866927593	0
40	20.11.2017 17:30:26	0	3.8825831413269	2.64187866927593	0
41	20.11.2017 17:30:28	0	3.8825831413269	2.64187866927593	0
42	20.11.2017 17:30:29	0	3.89823865890503	2.64187866927593	0
43	20.11.2017 17:30:31	0	3.8825831413269	2.64187866927593	0
44	20.11.2017 17:30:32	0	3.8825831413269	2.67710371819961	0
45	20.11.2017 17:30:33	0	3.8825831413269	2.67710371819961	0
46	20.11.2017 17:30:35	0	3.91389441490173	2.67710371819961	0
47	20.11.2017 17:30:36	0	3.8825831413269	2.67710371819961	0
48	20.11.2017 17:30:37	0	3.8825831413269	2.67710371819961	0
49	20.11.2017 17:30:39	0	3.8825831413269	2.67710371819961	0
50	20.11.2017 17:30:40	0	3.91389441490173	2.67710371819961	0
51	20.11.2017 17:30:41	0	3.91389441490173	2.67710371819961	0
52	20.11.2017 17:30:43	0	3.8825831413269	2.67710371819961	0
53	20.11.2017 17:30:44	0	3.8825831413269	2.67710371819961	0
54	20.11.2017 17:30:46	0	3.89823865890503	2.67710371819961	0
55	20.11.2017 17:30:47	0	3.89823865890503	2.67710371819961	0
56	20.11.2017 17:30:48	0	3.8825831413269	2.67710371819961	0
57	20.11.2017 17:30:50	0	3.8825831413269	2.67710371819961	0
58	20.11.2017 17:30:51	0	3.89823865890503	2.67710371819961	0
59	20.11.2017 17:30:53	0	3.8825831413269	2.67710371819961	0
60	20.11.2017 17:30:55	0	3.8825831413269	2.67710371819961	0
61	20.11.2017 17:30:56	0	3.89823865890503	2.67710371819961	0
62	20.11.2017 17:30:58	0	3.8825831413269	2.67710371819961	0
63	20.11.2017 17:31:01	0	3.91389441490173	2.67710371819961	0
64	20.11.2017 17:31:03	0	3.89823865890503	2.67710371819961	0
65	20.11.2017 17:31:06	0	3.91389441490173	2.67710371819961	0
66	20.11.2017 17:31:08	0	3.89823865890503	2.67710371819961	0
67	20.11.2017 17:31:10	0	3.8825831413269	2.67710371819961	0
68	20.11.2017 17:31:11	0	3.91389441490173	2.67710371819961	0
69	20.11.2017 17:31:13	0	3.8825831413269	2.67710371819961	0
70	20.11.2017 17:31:14	0	3.89823865890503	2.67710371819961	0
71	20.11.2017 17:31:16	0	3.89823865890503	2.67710371819961	0
72	20.11.2017 17:31:17	0	3.8825831413269	2.65949119373777	0
73	20.11.2017 17:31:18	0	3.89823865890503	2.65949119373777	0
74	20.11.2017 17:31:20	0	3.8825831413269	2.65949119373777	0
75	20.11.2017 17:31:21	0	3.91389441490173	2.65949119373777	0
76	20.11.2017 17:31:22	0	3.89823865890503	2.64187866927593	0
77	20.11.2017 17:31:24	0	3.89823865890503	2.64187866927593	0
