	Ячейка 36-23 ПВК неразведено	Мощность	Расход	Энерговыработка ТВС реактора (МВт*сут)	ДКЭВ2	Офсет
12164	14.02.2018 7:33:56	1.54598825831703	21.4285717010498	3039.74096679688	2.64187866927593; 3.83561643835616; 3.18982387475538; 2.52446183953033	0.0626003210272874
12165	14.02.2018 7:33:57	1.54598825831703	21.4285717010498	3039.74096679688	2.64187866927593; 3.83561643835616; 3.20939334637965; 2.5440313111546	0.05919999999999941
12166	14.02.2018 7:33:59	1.54598825831703	21.5264186859131	3039.80590820313	2.64187866927593; 3.83561643835616; 3.20939334637965; 2.56360078277886	0.057507987220447206
12167	14.02.2018 7:34:00	1.54598825831703	21.4285717010498	3039.80590820313	2.62230919765166; 3.83561643835616; 3.20939334637965; 2.56360078277886	0.05599999999999962
12168	14.02.2018 7:34:02	1.55577299412916	21.3307247161865	3039.80590820313	2.62230919765166; 3.83561643835616; 3.22896281800391; 2.58317025440313	0.052631578947368286
12169	14.02.2018 7:34:03	1.54598825831703	21.4285717010498	3039.80590820313	2.6027397260274; 3.79647749510763; 3.20939334637965; 2.58317025440313	0.04975922953451046
12170	14.02.2018 7:34:04	1.54598825831703	21.6242656707764	3039.80590820313	2.6027397260274; 3.79647749510763; 3.20939334637965; 2.58317025440313	0.04975922953451046
12171	14.02.2018 7:34:06	1.54598825831703	21.4285717010498	3039.80590820313	2.58317025440313; 3.79647749510763; 3.22896281800391; 2.62230919765166	0.043200000000000335
12172	14.02.2018 7:34:07	1.54598825831703	21.3307247161865	3039.87060546875	2.58317025440313; 3.79647749510763; 3.24853228962818; 2.64187866927593	0.0398724082934606
12173	14.02.2018 7:34:09	1.54598825831703	21.5264186859131	3039.87060546875	2.56360078277886; 3.7573385518591; 3.22896281800391; 2.62230919765166	0.03858520900321569
12174	14.02.2018 7:34:10	1.54598825831703	21.4285717010498	3039.87060546875	2.5440313111546; 3.7573385518591; 3.24853228962818; 2.6614481409002	0.03205128205128178
12175	14.02.2018 7:34:12	1.55577299412916	21.4285717010498	3039.87060546875	2.5440313111546; 3.7573385518591; 3.26810176125245; 2.68101761252446	0.028753993610223613
12176	14.02.2018 7:34:13	1.54598825831703	21.2328758239746	3039.87060546875	2.52446183953033; 3.73776908023483; 3.26810176125245; 2.68101761252446	0.025641025641025064
12177	14.02.2018 7:34:14	1.55577299412916	21.4285717010498	3039.87060546875	2.50489236790607; 3.73776908023483; 3.28767123287671; 2.72015655577299	0.019169329073482982
12178	14.02.2018 7:34:16	1.54598825831703	21.3307247161865	3039.93530273438	2.50489236790607; 3.73776908023483; 3.28767123287671; 2.72015655577299	0.019169329073482982
12179	14.02.2018 7:34:17	1.55577299412916	21.3307247161865	3039.93530273438	2.4853228962818; 3.71819960861057; 3.30724070450098; 2.73972602739726	0.012779552715655021
12180	14.02.2018 7:34:19	1.55577299412916	21.4285717010498	3039.93530273438	2.4853228962818; 3.71819960861057; 3.30724070450098; 2.75929549902153	0.011164274322168807
12181	14.02.2018 7:34:20	1.55577299412916	21.5264186859131	3039.93530273438	2.46575342465753; 3.6986301369863; 3.32681017612524; 2.77886497064579	0.0047846889952153976
12182	14.02.2018 7:34:21	1.54598825831703	21.3307247161865	3039.93530273438	2.44618395303327; 3.67906066536204; 3.30724070450098; 2.75929549902153	0.004815409309791482
12183	14.02.2018 7:34:23	1.54598825831703	21.5264186859131	3039.93530273438	2.44618395303327; 3.67906066536204; 3.30724070450098; 2.77886497064579	0.0032051282051288395
12184	14.02.2018 7:34:24	1.54598825831703	21.4285717010498	3040	2.426614481409; 3.65949119373777; 3.32681017612524; 2.77886497064579	-0.001605136436596629
12185	14.02.2018 7:34:26	1.54598825831703	21.3307247161865	3040	2.426614481409; 3.65949119373777; 3.32681017612524; 2.79843444227006	-0.003205128205127969
12186	14.02.2018 7:34:27	1.54598825831703	21.5264186859131	3040	2.40704500978474; 3.65949119373777; 3.32681017612524; 2.81800391389432	-0.006410256410255212
12187	14.02.2018 7:34:28	1.54598825831703	21.3307247161865	3040	2.40704500978474; 3.6399217221135; 3.32681017612524; 2.81800391389432	-0.008025682182984748
12188	14.02.2018 7:34:30	1.54598825831703	21.4285717010498	3040	2.38747553816047; 3.6399217221135; 3.34637964774951; 2.83757338551859	-0.012820512820512896
12189	14.02.2018 7:34:31	1.54598825831703	21.5264186859131	3040	2.38747553816047; 3.6399217221135; 3.34637964774951; 2.83757338551859	-0.012820512820512896
12190	14.02.2018 7:34:33	1.54598825831703	21.4285717010498	3040.06494140625	2.38747553816047; 3.62035225048924; 3.32681017612524; 2.83757338551859	-0.012861736334404416
12191	14.02.2018 7:34:34	1.54598825831703	21.4285717010498	3040.06494140625	2.38747553816047; 3.62035225048924; 3.32681017612524; 2.85714285714286	-0.014446227929373584
12192	14.02.2018 7:34:35	1.54598825831703	21.2328758239746	3040.09350585938	2.3679060665362; 3.62035225048924; 3.32681017612524; 2.85714285714286	-0.016077170418006267
12193	14.02.2018 7:34:37	1.53620352250489	21.3307247161865	3040.09350585938	2.34833659491194; 3.60078277886497; 3.32681017612524; 2.87671232876712	-0.020933977455715857
12194	14.02.2018 7:34:38	1.52641878669276	21.5264186859131	3040.09350585938	2.34833659491194; 3.56164383561644; 3.30724070450098; 2.85714285714286	-0.021069692058346814
12195	14.02.2018 7:34:40	1.52641878669276	21.4285717010498	3040.12231445313	2.34833659491194; 3.54207436399217; 3.30724070450098; 2.87671232876712	-0.02431118314424618
12196	14.02.2018 7:34:41	1.52641878669276	21.4285717010498	3040.12231445313	2.34833659491194; 3.54207436399217; 3.28767123287671; 2.87671232876712	-0.02272727272727224
12197	14.02.2018 7:34:43	1.52641878669276	21.4285717010498	3040.12231445313	2.32876712328767; 3.52250489236791; 3.28767123287671; 2.87671232876712	-0.026058631921823446
12198	14.02.2018 7:34:44	1.52641878669276	21.6242656707764	3040.12231445313	2.32876712328767; 3.52250489236791; 3.30724070450098; 2.89628180039139	-0.02922077922077919
12199	14.02.2018 7:34:45	1.52641878669276	21.4285717010498	3040.12231445313	2.32876712328767; 3.52250489236791; 3.28767123287671; 2.87671232876712	-0.026058631921823446
12200	14.02.2018 7:34:47	1.52641878669276	21.4285717010498	3040.12231445313	2.32876712328767; 3.52250489236791; 3.28767123287671; 2.89628180039139	-0.027642276422763883
12201	14.02.2018 7:34:48	1.52641878669276	21.4285717010498	3040.18603515625	2.30919765166341; 3.50293542074364; 3.30724070450098; 2.91585127201566	-0.034146341463414664
12202	14.02.2018 7:34:50	1.51663405088063	21.2328758239746	3040.18603515625	2.30919765166341; 3.50293542074364; 3.28767123287671; 2.89628180039139	-0.030995106035888474
12203	14.02.2018 7:34:51	1.51663405088063	21.5264186859131	3040.18603515625	2.32876712328767; 3.50293542074364; 3.26810176125245; 2.87671232876712	-0.026143790849673425
12204	14.02.2018 7:34:53	1.51663405088063	21.5264186859131	3040.18603515625	2.32876712328767; 3.50293542074364; 3.24853228962818; 2.85714285714286	-0.022950819672131462
12205	14.02.2018 7:34:54	1.52641878669276	21.3307247161865	3040.18603515625	2.34833659491194; 3.54207436399217; 3.28767123287671; 2.87671232876712	-0.02272727272727224
12206	14.02.2018 7:34:55	1.52641878669276	21.6242656707764	3040.18603515625	2.32876712328767; 3.54207436399217; 3.28767123287671; 2.87671232876712	-0.02439024390243887
12207	14.02.2018 7:34:57	1.52641878669276	21.3307247161865	3040.25	2.32876712328767; 3.52250489236791; 3.26810176125245; 2.85714285714286	-0.022875816993464422
12208	14.02.2018 7:34:58	1.52641878669276	21.3307247161865	3040.25	2.32876712328767; 3.52250489236791; 3.26810176125245; 2.85714285714286	-0.022875816993464422
12209	14.02.2018 7:35:00	1.52641878669276	21.5264186859131	3040.25	2.32876712328767; 3.52250489236791; 3.26810176125245; 2.87671232876712	-0.024469820554649156
12210	14.02.2018 7:35:01	1.51663405088063	21.5264186859131	3040.25	2.32876712328767; 3.54207436399217; 3.26810176125245; 2.83757338551859	-0.019607843137255384
12211	14.02.2018 7:35:02	1.51663405088063	21.4285717010498	3040.25	2.34833659491194; 3.54207436399217; 3.26810176125245; 2.81800391389432	-0.01633986928104566
