	Ячейка 30-41 ПВК 76 Нитка 9	Мощность	Расход	Энерговыработка ТВС реактора (МВт*сут)	ДКЭВ1	Офсет
0	01.01.2016 0:00:12	1.96673189823875	29.8434448242188	2048.14526367188	2.03522504892368; 2.23091976516634; 1.97651663405088; 1.76125244618395	0.0660146699266509
1	01.01.2016 0:10:12	1.96673189823875	29.8434448242188	2048.14526367188	2.07436399217221; 2.23091976516634; 1.95694716242661; 1.74168297455969	0.07579462102689484
2	01.01.2016 0:20:12	1.96673189823875	29.8434448242188	2048.14526367188	2.07436399217221; 2.25048923679061; 1.95694716242661; 1.72211350293542	0.08068459657701808
3	01.01.2016 0:30:12	1.96673189823875	29.8434448242188	2048.14526367188	2.09393346379648; 2.25048923679061; 1.93737769080235; 1.70254403131115	0.08823529411764819
4	01.01.2016 0:40:12	1.95694716242661	29.7455959320068	2048.14526367188	2.09393346379648; 2.25048923679061; 1.91780821917808; 1.70254403131115	0.09090909090909258
5	01.01.2016 0:50:13	1.94716242661448	29.941291809082	2048.22729492188	2.11350293542074; 2.23091976516634; 1.89823874755382; 1.66340508806262	0.09900990099009825
6	01.01.2016 1:00:13	1.95694716242661	30.0391387939453	2048.22729492188	2.13307240704501; 2.25048923679061; 1.89823874755382; 1.66340508806262	0.10344827586206909
7	01.01.2016 1:10:13	1.94716242661448	30.0391387939453	2048.22729492188	2.13307240704501; 2.25048923679061; 1.87866927592955; 1.64383561643836	0.10891089108910874
8	01.01.2016 1:20:14	1.94716242661448	29.941291809082	2048.22729492188	2.15264187866928; 2.27005870841487; 1.87866927592955; 1.62426614481409	0.11604938271604955
9	01.01.2016 1:30:15	1.95694716242661	30.0391387939453	2048.22729492188	2.17221135029354; 2.27005870841487; 1.87866927592955; 1.62426614481409	0.11822660098522109
10	01.01.2016 1:40:14	1.94716242661448	30.0391387939453	2048.22729492188	2.19178082191781; 2.27005870841487; 1.85909980430528; 1.60469667318982	0.12592592592592697
11	01.01.2016 1:50:14	1.95694716242661	30.0391387939453	2048.30883789063	2.19178082191781; 2.28962818003914; 1.85909980430528; 1.60469667318982	0.12807881773399152
12	01.01.2016 2:00:14	1.94716242661448	30.0391387939453	2048.30883789063	2.21135029354207; 2.28962818003914; 1.83953033268102; 1.56555772994129	0.1386138613861381
13	01.01.2016 2:10:14	1.94716242661448	30.0391387939453	2048.30883789063	2.23091976516634; 2.28962818003914; 1.81996086105675; 1.56555772994129	0.14356435643564414
14	01.01.2016 2:20:15	1.95694716242661	30.1369857788086	2048.30883789063	2.25048923679061; 2.30919765166341; 1.83953033268102; 1.56555772994129	0.1449631449631458
15	01.01.2016 2:30:15	1.94716242661448	30.0391387939453	2048.30883789063	2.25048923679061; 2.30919765166341; 1.81996086105675; 1.54598825831703	0.15061728395061783
16	01.01.2016 2:40:15	1.94716242661448	30.1369857788086	2048.30883789063	2.25048923679061; 2.30919765166341; 1.81996086105675; 1.54598825831703	0.15061728395061783
17	01.01.2016 2:50:15	1.95694716242661	29.941291809082	2048.39013671875	2.28962818003914; 2.32876712328767; 1.81996086105675; 1.52641878669276	0.15970515970515986
18	01.01.2016 3:00:15	1.96673189823875	29.8434448242188	2048.39013671875	2.30919765166341; 2.34833659491194; 1.81996086105675; 1.52641878669276	0.16381418092909633
19	01.01.2016 3:10:15	1.97651663405088	29.941291809082	2048.39013671875	2.32876712328767; 2.34833659491194; 1.81996086105675; 1.52641878669276	0.16585365853658562
20	01.01.2016 3:20:15	1.97651663405088	29.8434448242188	2048.39013671875	2.32876712328767; 2.34833659491194; 1.80039138943249; 1.50684931506849	0.17156862745098023
21	01.01.2016 3:30:16	1.96673189823875	30.1369857788086	2048.39013671875	2.32876712328767; 2.3679060665362; 1.80039138943249; 1.50684931506849	0.1735941320293391
22	01.01.2016 3:40:16	1.97651663405088	29.941291809082	2048.39013671875	2.34833659491194; 2.3679060665362; 1.80039138943249; 1.48727984344423	0.17848410757946087
23	01.01.2016 3:50:16	1.96673189823875	29.941291809082	2048.47216796875	2.3679060665362; 2.3679060665362; 1.80039138943249; 1.48727984344423	0.18048780487804694
24	01.01.2016 4:00:16	1.97651663405088	30.0391387939453	2048.47216796875	2.34833659491194; 2.3679060665362; 1.80039138943249; 1.48727984344423	0.17848410757946087
25	01.01.2016 4:10:16	1.96673189823875	29.941291809082	2048.47216796875	2.3679060665362; 2.38747553816047; 1.78082191780822; 1.46771037181996	0.18826405867970633
26	01.01.2016 4:20:16	1.97651663405088	29.8434448242188	2048.47216796875	2.3679060665362; 2.38747553816047; 1.78082191780822; 1.46771037181996	0.18826405867970633
27	01.01.2016 4:30:17	1.97651663405088	29.8434448242188	2048.47216796875	2.38747553816047; 2.40704500978474; 1.78082191780822; 1.44814090019569	0.1951219512195132
28	01.01.2016 4:40:17	1.97651663405088	29.941291809082	2048.47216796875	2.34833659491194; 2.38747553816047; 1.80039138943249; 1.46771037181996	0.1833740831295841
29	01.01.2016 4:50:17	1.96673189823875	30.0391387939453	2048.5546875	2.32876712328767; 2.3679060665362; 1.80039138943249; 1.48727984344423	0.1764705882352925
30	01.01.2016 5:00:17	1.96673189823875	30.0391387939453	2048.5546875	2.28962818003914; 2.3679060665362; 1.83953033268102; 1.52641878669276	0.16097560975609684
31	01.01.2016 5:10:17	1.97651663405088	29.941291809082	2048.5546875	2.28962818003914; 2.3679060665362; 1.83953033268102; 1.52641878669276	0.16097560975609684
32	01.01.2016 5:20:18	1.97651663405088	29.8434448242188	2048.5546875	2.28962818003914; 2.34833659491194; 1.83953033268102; 1.52641878669276	0.158924205378973
33	01.01.2016 5:30:17	1.96673189823875	30.0391387939453	2048.5546875	2.25048923679061; 2.34833659491194; 1.85909980430528; 1.54598825831703	0.14914425427872913
34	01.01.2016 5:40:18	1.97651663405088	29.6477489471436	2048.5546875	2.25048923679061; 2.34833659491194; 1.85909980430528; 1.54598825831703	0.14914425427872913
